start_lat,start_long,end_lat,end_long,start_time,end_time,total_time,total_distance,velocity,start_index,end_index
37.3170000895855,-121.975139578099,37.3170032768762,-121.975136586958,2023-01-12 18:58:23.500,2023-01-12 18:58:22.500,1.0,0.44207185437429997,0.44207185437429997,0,1
37.3169852436777,-121.975152890342,37.3170000895855,-121.975139578099,2023-01-12 18:58:24.500,2023-01-12 18:58:23.500,1.0,2.026616943760712,2.026616943760712,1,2
37.3169580260288,-121.975176966078,37.3169852436777,-121.975152890342,2023-01-12 18:58:25.400,2023-01-12 18:58:24.500,0.9,3.6985209016325373,4.109467668480597,2,3
37.3169200150224,-121.975209442469,37.3169580260288,-121.975176966078,2023-01-12 18:58:26.400,2023-01-12 18:58:25.400,1.0,5.107219004715184,5.107219004715184,3,4
37.3168701893516,-121.975241128891,37.3169200150224,-121.975209442469,2023-01-12 18:58:27.400,2023-01-12 18:58:26.400,1.0,6.202250500441197,6.202250500441197,4,5
37.3168076398202,-121.975257790125,37.3168701893516,-121.975241128891,2023-01-12 18:58:28.400,2023-01-12 18:58:27.400,1.0,7.097331064396487,7.097331064396487,5,6
37.3167398175536,-121.975243790017,37.3168076398202,-121.975257790125,2023-01-12 18:58:29.500,2023-01-12 18:58:28.400,1.1,7.628771712871647,6.935247011701496,6,7
37.31667834752,-121.97519166476,37.3167398175536,-121.975243790017,2023-01-12 18:58:30.400,2023-01-12 18:58:29.500,0.9,8.239564013579558,9.155071126199509,7,8
37.3166368853491,-121.975106523883,37.31667834752,-121.97519166476,2023-01-12 18:58:31.500,2023-01-12 18:58:30.400,1.1,8.839227929562977,8.03566175414816,8,9
37.3166060260546,-121.975003622418,37.3166368853491,-121.975106523883,2023-01-12 18:58:32.500,2023-01-12 18:58:31.500,1.0,9.743106169673927,9.743106169673927,9,10
37.3165775527036,-121.974888460515,37.3166060260546,-121.975003622418,2023-01-12 18:58:33.400,2023-01-12 18:58:32.500,0.9,10.68603387348199,11.873370970535545,10,11
37.3165493038339,-121.974759296017,37.3165775527036,-121.974888460515,2023-01-12 18:58:34.500,2023-01-12 18:58:33.400,1.1,11.870801016810585,10.791637288009621,11,12
37.3165196874259,-121.974617507674,37.3165493038339,-121.974759296017,2023-01-12 18:58:35.400,2023-01-12 18:58:34.500,0.9,12.991008920406333,14.434454356007036,12,13
37.3164879839786,-121.974461247018,37.3165196874259,-121.974617507674,2023-01-12 18:58:36.400,2023-01-12 18:58:35.400,1.0,14.291077093486436,14.291077093486436,13,14
37.3164543022281,-121.974291401988,37.3164879839786,-121.974461247018,2023-01-12 18:58:37.500,2023-01-12 18:58:36.400,1.1,15.5124369677012,14.102215425182909,14,15
37.3164170071116,-121.974109568055,37.3164543022281,-121.974291401988,2023-01-12 18:58:38.500,2023-01-12 18:58:37.500,1.0,16.641010199185217,16.641010199185217,15,16
37.316378778078,-121.973914465985,37.3164170071116,-121.974109568055,2023-01-12 18:58:39.500,2023-01-12 18:58:38.500,1.0,17.806980931081757,17.806980931081757,16,17
