Latitude,Longitude,Nearby Activity Locations
37.3170000895855,-121.975139578099,"[['Laser Eye Center', 37.3154678, -121.9757438], ['Bijan', 37.3200027, -121.974741], ['Tasty Donuts', 37.3190351, -121.9741279], ['Curry Life', 37.315267, -121.9780831], ['Starbucks', 37.3199304, -121.9730979], [""Togo's"", 37.3198829, -121.9732561], ['Iguanas Burritozilla', 37.3198617, -121.9732593], ['Hong Kong Style Dim Sum', 37.319071, -121.9743651], ['AOM Clinical Center', 37.3161217, -121.9775357], ['Okai Chiropractic Clinic', 37.3161228, -121.9776511], ['Beddingfield Funeral Service', 37.3162337, -121.9775464], ['Fugetsu', 37.3156793, -121.978212], ['Teaspoon', 37.3152846, -121.978247], ['Shabuway San Jose', 37.3156412, -121.9771693], ['Tomisushi', 37.3154092, -121.9782347], ['Kahoo Ramen', 37.3152957, -121.9783258], ['Kung Fu Tea', 37.3197401, -121.9748612], ['Butterfly Dental Care', 37.3156394, -121.9770491], ['Redi Room', 37.3155636, -121.9782187], ['N7 Draft Tea & Coffee', 37.3156386, -121.9772846], ['Mochi-ya Ren', 37.3147368, -121.9779105], ['Mitsuwa Marketplace Food Court', 37.3147902, -121.9778099], ['Santouka', 37.3148605, -121.9777669], ['Vons Chicken', 37.3155951, -121.9766193], ['Mail Station', 37.3195762, -121.9748419], ['Japanese Art and Cultural Center', 37.3152943, -121.9784023], ['Hunan Mifen', 37.319137, -121.9748339], ['Wells Fargo', 37.315293, -121.9777722], ['Coffee and Water Lab', 37.315535, -121.9766823], ['Takoyaki Yama-chan', 37.3148406, -121.9777294], ['MEDvidi', 37.314618, -121.9724226]]"
37.3475955495935,-121.916123323319,"[['Wushu Central', 37.3458204, -121.9153711], ['Angkor Chef', 37.3494355, -121.9121497], ['Latin Asian Fusion', 37.3494065, -121.9121922], ['Amici', 37.3495712, -121.9124163], ['Talia di Chicago', 37.3493467, -121.9122814], ['Pono Hawaiian Grill', 37.3495067, -121.9121466], ['Falafel Flame', 37.3494743, -121.912189], ['Suggi Oota', 37.349648, -121.9123014], ['Valley Krispy Krunchy Chicken', 37.3494833, -121.9124065], ['Theera Foods', 37.3496197, -121.9124703], ['Burma 3', 37.3494432, -121.9122314], ['Pollo Campero', 37.3495756, -121.912529], [""Judie's Tacos Locos"", 37.3494159, -121.9122771], ['Chicken Meets Rice', 37.3496133, -121.9123514], [""Dickey's Barbecue Pit"", 37.3496963, -121.912359], [""Ben's Fast Food"", 37.3494834, -121.9122673], ['Egghead', 37.3493822, -121.9122363], ['Superuvian', 37.3496432, -121.912405], ['Cevichito', 37.3496185, -121.912449], ['Peruvian Wok', 37.3496342, -121.912404], [""Poorboy's Kitchen"", 37.3495738, -121.9122945]]"
37.3515619493276,-121.922115363449,"[['Starbucks', 37.3504896, -121.922091], ['MOD Pizza', 37.350651, -121.922448], ['Chipotle', 37.3505663, -121.9222627], ['Which Wich?', 37.3505216, -121.9221742], ['VIP Bike Parking', 37.3506809, -121.9271454], ['Smoking Pig BBQ', 37.3507245, -121.9225947]]"
