lat,long,time
51.339258,-0.254565,2023-01-13 16:09:00+00:00
51.339236,-0.254543,2023-01-13 16:09:01+00:00
51.339212,-0.254519,2023-01-13 16:09:02+00:00
51.339189,-0.254496,2023-01-13 16:09:03+00:00
51.339159,-0.254463,2023-01-13 16:09:04+00:00
51.339141,-0.254438,2023-01-13 16:09:05+00:00
51.339117,-0.254409,2023-01-13 16:09:06+00:00
51.33909,-0.254391,2023-01-13 16:09:07+00:00
51.33906,-0.254356,2023-01-13 16:09:08+00:00
51.339036,-0.254331,2023-01-13 16:09:09+00:00
51.339011,-0.254302,2023-01-13 16:09:10+00:00
51.338989,-0.254285,2023-01-13 16:09:11+00:00
51.338963,-0.254259,2023-01-13 16:09:12+00:00
51.338943,-0.254242,2023-01-13 16:09:13+00:00
51.338929,-0.25422,2023-01-13 16:09:14+00:00
51.338895,-0.254198,2023-01-13 16:09:15+00:00
51.338867,-0.254167,2023-01-13 16:09:16+00:00
51.338843,-0.254142,2023-01-13 16:09:17+00:00
51.338812,-0.254113,2023-01-13 16:09:18+00:00
51.338786,-0.2541,2023-01-13 16:09:19+00:00
51.338765,-0.254089,2023-01-13 16:09:20+00:00
51.338742,-0.254077,2023-01-13 16:09:21+00:00
51.338708,-0.254058,2023-01-13 16:09:22+00:00
51.338679,-0.254037,2023-01-13 16:09:23+00:00
51.338654,-0.254007,2023-01-13 16:09:24+00:00
51.33863,-0.253984,2023-01-13 16:09:25+00:00
51.338602,-0.253961,2023-01-13 16:09:26+00:00
51.33858,-0.25395,2023-01-13 16:09:27+00:00
51.338559,-0.253935,2023-01-13 16:09:28+00:00
51.338528,-0.253915,2023-01-13 16:09:29+00:00
51.338504,-0.25389,2023-01-13 16:09:30+00:00
51.338482,-0.253877,2023-01-13 16:09:31+00:00
51.338459,-0.253855,2023-01-13 16:09:32+00:00
51.338438,-0.253828,2023-01-13 16:09:33+00:00
51.338405,-0.253799,2023-01-13 16:09:34+00:00
51.33838,-0.253762,2023-01-13 16:09:35+00:00
51.338362,-0.253732,2023-01-13 16:09:36+00:00
51.338344,-0.253703,2023-01-13 16:09:37+00:00
51.338328,-0.253681,2023-01-13 16:09:38+00:00
51.338308,-0.25367,2023-01-13 16:09:39+00:00
51.338287,-0.253652,2023-01-13 16:09:40+00:00
51.338262,-0.253628,2023-01-13 16:09:41+00:00
51.33825,-0.253601,2023-01-13 16:09:42+00:00
51.338229,-0.25357,2023-01-13 16:09:43+00:00
51.338202,-0.25354,2023-01-13 16:09:44+00:00
51.338171,-0.253507,2023-01-13 16:09:45+00:00
51.338148,-0.253483,2023-01-13 16:09:46+00:00
51.338121,-0.253469,2023-01-13 16:09:47+00:00
51.338094,-0.253463,2023-01-13 16:09:48+00:00
51.338069,-0.253453,2023-01-13 16:09:49+00:00
51.338047,-0.253446,2023-01-13 16:09:50+00:00
51.33802,-0.253421,2023-01-13 16:09:51+00:00
51.338017,-0.25339,2023-01-13 16:09:52+00:00
51.338021,-0.253349,2023-01-13 16:09:53+00:00
51.338037,-0.253303,2023-01-13 16:09:54+00:00
51.338059,-0.253271,2023-01-13 16:09:55+00:00
51.338084,-0.253247,2023-01-13 16:09:56+00:00
51.338112,-0.25322,2023-01-13 16:09:57+00:00
51.338136,-0.253199,2023-01-13 16:09:58+00:00
51.338165,-0.253174,2023-01-13 16:09:59+00:00
51.338193,-0.253144,2023-01-13 16:10:00+00:00
51.338217,-0.253122,2023-01-13 16:10:01+00:00
51.338241,-0.253094,2023-01-13 16:10:02+00:00
51.338266,-0.253067,2023-01-13 16:10:03+00:00
51.338298,-0.253032,2023-01-13 16:10:04+00:00
51.33832,-0.253009,2023-01-13 16:10:05+00:00
51.338352,-0.252981,2023-01-13 16:10:06+00:00
51.338382,-0.252955,2023-01-13 16:10:07+00:00
51.338413,-0.252923,2023-01-13 16:10:08+00:00
51.338436,-0.252899,2023-01-13 16:10:09+00:00
51.338466,-0.252874,2023-01-13 16:10:10+00:00
51.338488,-0.252854,2023-01-13 16:10:11+00:00
51.338513,-0.252829,2023-01-13 16:10:12+00:00
51.338537,-0.252804,2023-01-13 16:10:13+00:00
51.338556,-0.252775,2023-01-13 16:10:14+00:00
51.338576,-0.252735,2023-01-13 16:10:15+00:00
51.338592,-0.252705,2023-01-13 16:10:16+00:00
51.338617,-0.252671,2023-01-13 16:10:17+00:00
51.338646,-0.252642,2023-01-13 16:10:18+00:00
51.338674,-0.252615,2023-01-13 16:10:19+00:00
51.338696,-0.252587,2023-01-13 16:10:20+00:00
51.338718,-0.252546,2023-01-13 16:10:21+00:00
51.338723,-0.252503,2023-01-13 16:10:22+00:00
51.338716,-0.252443,2023-01-13 16:10:23+00:00
51.338698,-0.252388,2023-01-13 16:10:24+00:00
51.338665,-0.252359,2023-01-13 16:10:25+00:00
51.338634,-0.252358,2023-01-13 16:10:26+00:00
51.338605,-0.252397,2023-01-13 16:10:27+00:00
