start_lat,start_long,end_lat,end_long,start_time,end_time,start_index,end_index,mode,middle_point
43.252992,-79.9200502,43.2529682,-79.9201084,2023-03-17 17:20:15.551000+00:00,2023-03-18 17:07:48.183000+00:00,394,1102,mode.STOP,748.0
43.1976457,-79.8699899,43.19739893,-79.87039492,2023-03-18 17:27:36.888000+00:00,2023-03-18 17:33:34.230000+00:00,1118,1125,mode.STOP,1121.5
43.21126674,-79.88925148,43.21166165,-79.88879044,2023-03-18 18:45:08.363000+00:00,2023-03-18 18:49:15.131000+00:00,1186,1192,mode.STOP,1189.0
43.2530091,-79.9200497,43.25306472,-79.92012171,2023-03-20 22:28:23.669000+00:00,2023-03-21 17:17:17.291000+00:00,1419,2522,mode.STOP,1970.5
43.2566595,-79.9350103,43.25715057,-79.93386722,2023-03-21 17:25:24.404000+00:00,2023-03-21 18:55:23.163000+00:00,2528,2568,mode.STOP,2548.0
