start_lat,start_long,total_time,total_distance,velocity
51.339797,-0.257274,1.0,5.376015406199803,5.376015406199803
51.339792,-0.257319,1.0,3.1847249705145924,3.1847249705145924
51.339779,-0.257355,1.0,2.8956798693528,2.8956798693528
51.339766,-0.2574,1.0,3.453239137767521,3.453239137767521
51.339757,-0.257431,1.0,2.3809737334095646,2.3809737334095646
51.339744,-0.257439,1.0,1.550029542739392,1.550029542739392
51.339731,-0.257424,1.0,1.7844832516807383,1.7844832516807383
51.339702,-0.257392,1.0,3.9219838648848935,3.9219838648848935
51.339676,-0.257372,1.0,3.210858229623402,3.210858229623402
51.33965,-0.257346,1.0,3.4131841836593306,3.4131841836593306
51.339623,-0.257324,1.0,3.3724650484267444,3.3724650484267444
51.339598,-0.257307,1.0,3.0231371073281,3.0231371073281
51.339573,-0.25729,1.0,3.0231373480415664,3.0231373480415664
51.339547,-0.257271,1.0,3.181232818545157,3.181232818545157
51.339523,-0.257254,1.0,2.921105750153755,2.921105750153755
51.339498,-0.257238,1.0,2.9965179471892527,2.9965179471892527
51.33948,-0.257218,1.0,2.4398162501071288,2.4398162501071288
51.339452,-0.257191,1.0,3.6392305860162826,3.6392305860162826
51.33943,-0.257161,1.0,3.218862176447932,3.218862176447932
51.339397,-0.257135,1.0,4.094120136207225,4.094120136207225
51.33937,-0.257111,1.0,3.4380647003758247,3.4380647003758247
51.339342,-0.257078,1.0,3.8719689921695597,3.8719689921695597
51.339321,-0.257046,1.0,3.2297043422967286,3.2297043422967286
51.339302,-0.257012,1.0,3.1751796976396998,3.1751796976396998
51.339277,-0.256977,1.0,3.699259756029902,3.699259756029902
51.339255,-0.256946,1.0,3.2645548514514764,3.2645548514514764
51.339239,-0.256917,1.0,2.693048847888721,2.693048847888721
51.339226,-0.256904,1.0,1.706596507002366,1.706596507002366
51.339203,-0.256869,1.0,3.535009220744386,3.535009220744386
51.339186,-0.256827,1.0,3.4846836924012146,3.4846836924012146
51.339169,-0.256784,1.0,3.543413949483996,3.543413949483996
51.339158,-0.256744,1.0,3.044210126460525,3.044210126460525
51.339153,-0.256702,1.0,2.979151328067461,2.979151328067461
51.33915,-0.256669,1.0,2.3236895111383378,2.3236895111383378
51.339153,-0.25662,1.0,3.4308228051045786,3.4308228051045786
51.339162,-0.25659,1.0,2.3179614388828207,2.3179614388828207
51.339176,-0.256554,1.0,2.9528505038112516,2.9528505038112516
51.339199,-0.256522,1.0,3.394149645499518,3.394149645499518
51.339221,-0.25649,1.0,3.3110804852629,3.3110804852629
51.339238,-0.256458,1.0,2.9239721918544563,2.9239721918544563
51.339262,-0.256423,1.0,3.6163558094684194,3.6163558094684194
51.339282,-0.256394,1.0,3.005808606318039,3.005808606318039
51.339308,-0.256363,1.0,3.6102376855418394,3.6102376855418394
51.33933,-0.256331,1.0,3.3110769572577596,3.3110769572577596
51.339354,-0.256299,1.0,3.4787881523903605,3.4787881523903605
51.339375,-0.256269,1.0,3.135099727309495,3.135099727309495
51.339393,-0.256242,1.0,2.7477818150281443,2.7477818150281443
51.339415,-0.256207,1.0,3.455321766451499,3.455321766451499
51.339426,-0.256188,1.0,1.802961856901143,1.802961856901143
51.339455,-0.256145,1.0,4.403195224859305,4.403195224859305
51.33947,-0.25612,1.0,2.412446009449632,2.412446009449632
51.339497,-0.256076,1.0,4.292351291603406,4.292351291603406
51.339512,-0.256048,1.0,2.567484201578538,2.567484201578538
51.339543,-0.25601,1.0,4.348192730524657,4.348192730524657
51.339558,-0.255986,1.0,2.3626143511843583,2.3626143511843583
51.339589,-0.255947,1.0,4.390975721953302,4.390975721953302
51.339609,-0.255918,1.0,3.0057990321072463,3.0057990321072463
51.339632,-0.255883,1.0,3.5349944848553543,3.5349944848553543
51.339643,-0.255855,1.0,2.3031891551822126,2.3031891551822126
51.339655,-0.255824,1.0,2.539458419825267,2.539458419825267
51.339673,-0.25579,1.0,3.1022102502703857,3.1022102502703857
51.339702,-0.255741,1.0,4.69770761865426,4.69770761865426
51.339724,-0.255703,1.0,3.605911421036971,3.605911421036971
51.339742,-0.255672,1.0,2.9456416152853744,2.9456416152853744
51.339759,-0.255639,1.0,2.977436832104796,2.977436832104796
51.339778,-0.255596,1.0,3.666979849794645,3.666979849794645
51.339789,-0.255568,1.0,2.3031839203879083,2.3031839203879083
51.339796,-0.255523,1.0,3.2310272351609863,3.2310272351609863
51.3398,-0.255479,1.0,3.0982100047301726,3.0982100047301726
51.339795,-0.255457,1.0,1.6308453280860669,1.6308453280860669
51.339796,-0.255411,1.0,3.2073804227566987,3.2073804227566987
51.339788,-0.255374,1.0,2.727596797468256,2.727596797468256
51.339782,-0.25532,1.0,3.8216707307913786,3.8216707307913786
51.339772,-0.255282,1.0,2.872206431953795,2.872206431953795
51.339755,-0.255232,1.0,3.964428873620996,3.964428873620996
51.339746,-0.255201,1.0,2.3809742032499117,2.3809742032499117
51.339725,-0.255145,1.0,4.548232462020531,4.548232462020531
51.339714,-0.255108,1.0,2.8540024263184005,2.8540024263184005
51.339692,-0.255054,1.0,4.4889189735480075,4.4889189735480075
51.339671,-0.255018,1.0,3.4280758733950565,3.4280758733950565
51.339644,-0.254979,1.0,4.050806371384095,4.050806371384095
51.339621,-0.254948,1.0,3.348766607524468,3.348766607524468
51.339595,-0.254915,1.0,3.6953082822968426,3.6953082822968426
51.339568,-0.254886,1.0,3.6203686611895938,3.6203686611895938
51.33954,-0.254861,1.0,3.569170154565102,3.569170154565102
51.339519,-0.254843,1.0,2.6517608311301655,2.6517608311301655
51.339494,-0.254814,1.0,3.437994976583748,3.437994976583748
51.339478,-0.254797,1.0,2.138228724317886,2.138228724317886
51.339455,-0.254764,1.0,3.4403233530368005,3.4403233530368005
51.339427,-0.254729,1.0,3.9563273465055437,3.9563273465055437
51.339411,-0.254713,1.0,2.100424115341221,2.100424115341221
51.339397,-0.254698,1.0,1.8757910134977092,1.8757910134977092
51.339378,-0.254692,1.0,2.1547933956411316,2.1547933956411316
51.339361,-0.254678,1.0,2.128119159942978,2.128119159942978
51.339343,-0.254662,1.0,2.2920434970708468,2.2920434970708468
51.339327,-0.254643,1.0,2.2184807988904685,2.2184807988904685
51.339303,-0.254612,1.0,3.4345377908823473,3.4345377908823473
51.339286,-0.254596,1.0,2.195506687987856,2.195506687987856
51.339258,-0.254565,1.0,3.7908579531149833,3.7908579531149833
51.339236,-0.254543,1.0,2.888086142776218,2.888086142776218
51.339212,-0.254519,1.0,3.1506398636608477,3.1506398636608477
51.339189,-0.254496,1.0,3.0193636294830726,3.0193636294830726
51.339159,-0.254463,1.0,4.0531456116839095,4.0531456116839095
51.339141,-0.254438,1.0,2.654302419676745,2.654302419676745
51.339117,-0.254409,1.0,3.348637343144872,3.348637343144872
51.33909,-0.254391,1.0,3.255244852103106,3.255244852103106
51.33906,-0.254356,1.0,4.133814671771672,4.133814671771672
51.339036,-0.254331,1.0,3.1881805754832073,3.1881805754832073
51.339011,-0.254302,1.0,3.438007274279839,3.438007274279839
51.338989,-0.254285,1.0,2.719218448160402,2.719218448160402
51.338963,-0.254259,1.0,3.4131982706256005,3.4131982706256005
51.338943,-0.254242,1.0,2.5207997815774172,2.5207997815774172
51.338929,-0.25422,1.0,2.1854788427225964,2.1854788427225964
51.338895,-0.254198,1.0,4.081523817424364,4.081523817424364
51.338867,-0.254167,1.0,3.7908682536707152,3.7908682536707152
51.338843,-0.254142,1.0,3.1881844983899117,3.1881844983899117
51.338812,-0.254113,1.0,3.9973502433154966,3.9973502433154966
51.338786,-0.2541,1.0,3.0311615876447346,3.0311615876447346
51.338765,-0.254089,1.0,2.4588840618303753,2.4588840618303753
51.338742,-0.254077,1.0,2.6920309932168704,2.6920309932168704
51.338708,-0.254058,1.0,4.007687786901869,4.007687786901869
51.338679,-0.254037,1.0,3.5427527876169496,3.5427527876169496
51.338654,-0.254007,1.0,3.479434417767624,3.479434417767624
51.33863,-0.253984,1.0,3.11421997308869,3.11421997308869
51.338602,-0.253961,1.0,3.503271879945675,3.503271879945675
51.33858,-0.25395,1.0,2.56482998826565,2.56482998826565
51.338559,-0.253935,1.0,2.5595210048362564,2.5595210048362564
51.338528,-0.253915,1.0,3.719855605969097,3.719855605969097
51.338504,-0.25389,1.0,3.1881913899442025,3.1881913899442025
51.338482,-0.253877,1.0,2.609875028941872,2.609875028941872
51.338459,-0.253855,1.0,2.982970375443474,2.982970375443474
51.338438,-0.253828,1.0,2.999771523036583,2.999771523036583
51.338405,-0.253799,1.0,4.190848926036606,4.190848926036606
51.33838,-0.253762,1.0,3.7926287838353283,3.7926287838353283
51.338362,-0.253732,1.0,2.8949708057752717,2.8949708057752717
51.338344,-0.253703,1.0,2.8450567818595096,2.8450567818595096
51.338328,-0.253681,1.0,2.3492628129152675,2.3492628129152675
51.338308,-0.25367,1.0,2.3534313906425384,2.3534313906425384
51.338287,-0.253652,1.0,2.651776298790442,2.651776298790442
51.338262,-0.253628,1.0,3.245481184553648,3.245481184553648
51.33825,-0.253601,1.0,2.307055650914123,2.307055650914123
51.338229,-0.25357,1.0,3.1820256328068437,3.1820256328068437
51.338202,-0.25354,1.0,3.65975692451966,3.65975692451966
51.338171,-0.253507,1.0,4.14526808840289,4.14526808840289
51.338148,-0.253483,1.0,3.0569446299151157,3.0569446299151157
51.338121,-0.253469,1.0,3.158337016080999,3.158337016080999
51.338094,-0.253463,1.0,3.032837904469427,3.032837904469427
51.338069,-0.253453,1.0,2.867338340167353,2.867338340167353
51.338047,-0.253446,1.0,2.4957403803130047,2.4957403803130047
51.33802,-0.253421,1.0,3.4725210403427953,3.4725210403427953
51.338017,-0.25339,1.0,2.185909610128232,2.185909610128232
51.338021,-0.253349,1.0,2.8915918665293527,2.8915918665293527
51.338037,-0.253303,1.0,3.666656724345853,3.666656724345853
51.338059,-0.253271,1.0,3.3111180942242777,3.3111180942242777
51.338084,-0.253247,1.0,3.2454849069559617,3.2454849069559617
51.338112,-0.25322,1.0,3.639258914910969,3.639258914910969
51.338136,-0.253199,1.0,3.0448447551332913,3.0448447551332913
51.338165,-0.253174,1.0,3.6666988574638646,3.6666988574638646
51.338193,-0.253144,1.0,3.7516125315358018,3.7516125315358018
51.338217,-0.253122,1.0,3.0789424934725966,3.0789424934725966
51.338241,-0.253094,1.0,3.3070726167948563,3.3070726167948563
51.338266,-0.253067,1.0,3.3579965242278362,3.3579965242278362
51.338298,-0.253032,1.0,4.3154896270089775,4.3154896270089775
51.33832,-0.253009,1.0,2.9256899252695203,2.9256899252695203
51.338352,-0.252981,1.0,4.059788795304239,4.059788795304239
51.338382,-0.252955,1.0,3.7977090906181896,3.7977090906181896
51.338413,-0.252923,1.0,4.10701259423341,4.10701259423341
51.338436,-0.252899,1.0,3.0569394494637536,3.0569394494637536
51.338466,-0.252874,1.0,3.764959685604176,3.764959685604176
51.338488,-0.252854,1.0,2.8165948581037705,2.8165948581037705
51.338513,-0.252829,1.0,3.281930790057948,3.281930790057948
51.338537,-0.252804,1.0,3.188191207719866,3.188191207719866
51.338556,-0.252775,1.0,2.9244291584167668,2.9244291584167668
51.338576,-0.252735,1.0,3.566619260028208,3.566619260028208
51.338592,-0.252705,1.0,2.7457490028387115,2.7457490028387115
51.338617,-0.252671,1.0,3.6537144680006675,3.6537144680006675
51.338646,-0.252642,1.0,3.807036720118945,3.807036720118945
51.338674,-0.252615,1.0,3.6392472764072497,3.6392472764072497
51.338696,-0.252587,1.0,3.1301619423090967,3.1301619423090967
51.338718,-0.252546,1.0,3.76215171644928,3.76215171644928
51.338723,-0.252503,1.0,3.0476660911497904,3.0476660911497904
51.338716,-0.252443,1.0,4.253030436226477,4.253030436226477
51.338698,-0.252388,1.0,4.324337547603593,4.324337547603593
51.338665,-0.252359,1.0,4.1908435568498765,4.1908435568498765
51.338634,-0.252358,1.0,3.4496012919469217,3.4496012919469217
51.338605,-0.252397,1.0,4.218489790558482,4.218489790558482
51.338587,-0.252443,1.0,3.7796556423412118,3.7796556423412118
51.338575,-0.252504,1.0,4.455539494247429,4.455539494247429
51.338568,-0.252552,1.0,3.434371078565201,3.434371078565201
51.338568,-0.252592,1.0,2.7874225242485755,2.7874225242485755
51.338556,-0.252647,1.0,4.058573167263446,4.058573167263446
51.33854,-0.252689,1.0,3.425609316039796,3.425609316039796
51.338524,-0.252719,1.0,2.7457507948100495,2.7457507948100495
51.338517,-0.252743,1.0,1.844887504677918,1.844887504677918
51.338497,-0.252778,1.0,3.3014782777127962,3.3014782777127962
51.338475,-0.252807,1.0,3.174073685480623,3.174073685480623
51.338448,-0.252839,1.0,3.741113624948517,3.741113624948517
51.33843,-0.252864,1.0,2.654319923434945,2.654319923434945
51.338401,-0.252896,1.0,3.92201916554939,3.92201916554939
51.33838,-0.252922,1.0,2.956562852437246,2.956562852437246
51.338352,-0.252948,1.0,3.603719006765682,3.603719006765682
51.338327,-0.25298,1.0,3.5649242366982423,3.5649242366982423
51.338307,-0.253008,1.0,2.959434746839688,2.959434746839688
51.338284,-0.25303,1.0,2.982973310093456,2.982973310093456
51.338256,-0.253057,1.0,3.639255353630367,3.639255353630367
51.338225,-0.253079,1.0,3.774290191075042,3.774290191075042
51.338205,-0.253113,1.0,3.2503475810981097,3.2503475810981097
51.338187,-0.25313,1.0,2.326752564909792,2.326752564909792
51.338165,-0.253159,1.0,3.174082263558407,3.174082263558407
51.338146,-0.253173,1.0,2.3281169320842876,2.3281169320842876
51.338126,-0.253206,1.0,3.199908629490371,3.199908629490371
51.338097,-0.253228,1.0,3.5721093164285582,3.5721093164285582
51.338069,-0.253251,1.0,3.5032801295486604,3.5032801295486604
51.338044,-0.253272,1.0,3.1428631829360296,3.1428631829360296
51.338024,-0.253309,1.0,3.4057556995714955,3.4057556995714955
51.338,-0.253337,1.0,3.3070779715558203,3.3070779715558203
51.337973,-0.253363,1.0,3.5080015194960876,3.5080015194960876
51.337945,-0.253383,1.0,3.412701934664655,3.412701934664655
51.33792,-0.253398,1.0,2.971305844081841,2.971305844081841
51.337896,-0.253399,1.0,2.671022956759203,2.671022956759203
51.337872,-0.25339,1.0,2.74278350669287,2.74278350669287
51.337858,-0.253376,1.0,1.837888258226827,1.837888258226827
51.337833,-0.253347,1.0,3.4380372662194847,3.4380372662194847
