start_lat,start_long,end_lat,end_long,start_time,end_time,mode
37.3170000895855,-121.975139578099,37.3170000895855,-121.975139578099,2023-01-12 18:58:23.500,2023-01-12 18:58:23.500,0
37.3170000895855,-121.975139578099,37.3166060260546,-121.975003622418,2023-01-12 18:58:23.500,2023-01-12 18:58:32.500,1
37.3166060260546,-121.975003622418,37.3478128310657,-121.915841267058,2023-01-12 18:58:32.500,2023-01-12 19:03:43.500,10
37.3478128310657,-121.915841267058,37.3476534699336,-121.916415088523,2023-01-12 19:03:43.500,2023-01-12 19:03:55.399,1
37.3476534699336,-121.916415088523,37.351364333365,-121.921719991227,2023-01-12 19:03:55.399,2023-01-12 19:04:36.499,10
37.351364333365,-121.921719991227,37.3515565390336,-121.922092092647,2023-01-12 19:04:36.499,2023-01-12 19:04:43.499,1
37.3515565390336,-121.922092092647,37.3515566547484,-121.922105046959,2023-01-12 19:04:43.499,2023-01-12 19:05:04.399,0
37.3515566547484,-121.922105046959,37.3517687536583,-121.922511910316,2023-01-12 19:05:04.399,2023-01-12 19:05:12.399,1
37.3517687536583,-121.922511910316,37.3560561861915,-121.931272545817,2023-01-12 19:05:12.399,2023-01-12 19:06:07.399,10
37.3560561861915,-121.931272545817,37.3561670207,-121.931502108296,2023-01-12 19:06:07.399,2023-01-12 19:06:12.399,1
37.3561670207,-121.931502108296,37.3561605609168,-121.931505812381,2023-01-12 19:06:12.399,2023-01-12 19:06:23.399,0
